week,p05,p10,p25,p50,p75,p90,p95,economic_view
29,5.200854718128591,5.444088831029817,5.86470395468894,6.331239712939274,6.786326905435822,7.238333813579841,7.5550407601736245,soft_landing_view
30,5.198194369585468,5.4628870542997605,5.860615992615257,6.327109301365844,6.790045811993625,7.268212512335824,7.555020139132369,soft_landing_view
31,5.205204968394644,5.46118635704398,5.848064711929858,6.324746769591551,6.79345479987064,7.266169184321888,7.586668603092252,soft_landing_view
32,5.190211021938729,5.444297980668923,5.865937939777137,6.322156785957102,6.806165772574525,7.2693269784968315,7.593820699353455,soft_landing_view
33,5.190805296836425,5.442649465785162,5.854659266123635,6.318619933475198,6.7990867074649906,7.273676097610189,7.611360988884006,soft_landing_view
34,5.173020228395083,5.455921150967338,5.8555261071681075,6.322413537197438,6.808682270633265,7.277135652142982,7.597552884164444,soft_landing_view
35,5.197485642087187,5.44476551609191,5.85123091656414,6.327042341457298,6.811132460016564,7.2817069811658435,7.597742718309258,soft_landing_view
36,5.194545018724352,5.439674408394032,5.845011719816529,6.3285686518043525,6.810335925217257,7.298863848096885,7.6043051610928805,soft_landing_view
37,5.1500038929347705,5.442077091170734,5.848187034546347,6.314069832391985,6.8183079126492,7.319127015032961,7.616966476917014,soft_landing_view
38,5.175040295429985,5.400447468888717,5.840243343125506,6.325580676336747,6.8173920303962685,7.295144310920895,7.6143415837949835,soft_landing_view
39,5.151774080521392,5.401389497630346,5.828235909360845,6.317471173277163,6.826824199165772,7.308226204140934,7.639384505643165,soft_landing_view
40,5.122277048877957,5.386811790204449,5.840616059614291,6.313014133177363,6.838094156748043,7.306694530996094,7.65652596053315,soft_landing_view
41,5.116847926591962,5.394340601099107,5.833485964754534,6.312698409929412,6.822167976648725,7.315412138384898,7.635065533672015,soft_landing_view
42,5.135769944965852,5.4045930966489895,5.83113296079669,6.3062027038872825,6.826689307935595,7.296612766119933,7.652812046330498,soft_landing_view
43,5.1219345986369245,5.416398652534512,5.839862352226811,6.318358459870348,6.829745773394014,7.321289361215617,7.64409093348593,soft_landing_view
44,5.109421664426442,5.40696740618269,5.823168028005876,6.313228520092898,6.8188740427854,7.327775772256023,7.624618415851611,soft_landing_view
45,5.120942909493943,5.396891324067935,5.817901262693559,6.299306661042111,6.806403626786303,7.319798805567463,7.628551511158108,soft_landing_view
46,5.106252179052724,5.383228132246169,5.814929992384622,6.285898335639924,6.801579220442756,7.316914047629279,7.61414703312341,soft_landing_view
47,5.11298521609094,5.377793286465479,5.817899733461103,6.2856538078710225,6.809802506788046,7.315694507239486,7.6550337539498265,soft_landing_view
48,5.0712230085410335,5.394249066400874,5.81941702559169,6.280555516986231,6.807881138865649,7.325494269468393,7.627206626729111,soft_landing_view
49,5.085771898780892,5.358449107646997,5.825789028343968,6.284473377072608,6.8126246908364845,7.318584092203147,7.633794890708555,soft_landing_view
50,5.0833308020472145,5.3538235946819634,5.817693119677816,6.2867597608430135,6.812675972309923,7.315922790600447,7.631228386549411,soft_landing_view
